State,Gini Index - 2019,Gini Coefficient 2005-06,Gini Coefficient 2015-16,Gini - Avg
Andhra Pradesh(including Telangana),0.332,0.394,0.27,0.332
Arunachal Pradesh,0.366,0.426,0.306,0.366
Assam,0.351,0.413,0.289,0.351
Bihar,0.4235,0.446,0.401,0.4235
Chhattisgarh,0.401,0.46,0.342,0.401
Delhi,0.215,0.236,0.194,0.215
Goa,0.2215,0.263,0.18,0.2215
Guiarat,0.301,0.333,0.269,0.301
Haryana,0.2655,0.331,0.2,0.2655
Himachal Pradesh,0.2385,0.277,0.2,0.2385
Jammu & Kashmir,0.289,0.322,0.256,0.289
Tharkhand,0.4655,0.535,0.396,0.4655
Karnataka,0.3265,0.396,0.257,0.3265
Kerala,0.205,0.241,0.169,0.205
Madhya Pradesh,0.437,0.498,0.376,0.437
Maharashtra,0.325,0.375,0.275,0.325
Manipur,0.2815,0.307,0.256,0.2815
Meghalaya,0.318,0.366,0.27,0.318
Mizoram,0.265,0.278,0.252,0.265
Nagaland,0.303,0.332,0.274,0.303
Odisha,0.423,0.486,0.36,0.423
Punjab,0.218,0.272,0.164,0.218
Rajasthan,0.4105,0.481,0.34,0.4105
Sikkim,0.228,0.293,0.163,0.228
Tamil Nadu,0.3205,0.404,0.237,0.3205
Tripura,0.2995,0.336,0.263,0.2995
Uttar Pradesh,0.4115,0.46,0.363,0.4115
Uttarakhand,0.3025,0.351,0.254,0.3025
West Bengal,0.3835,0.455,0.312,0.3835
All India,0.377,0.431,0.323,0.377